zipcode,male,white,median_age
60002,0.50,0.91,43.3
60004,0.48,0.84,43
60005,0.51,0.83,44.4
60007,0.48,0.83,43.8
60008,0.50,0.74,37.8
60010,0.49,0.84,47.6
60012,0.49,0.96,46.7
60013,0.51,0.94,40.5
60014,0.50,0.93,39.9
60015,0.49,0.88,43.4
60016,0.48,0.67,41.1
60018,0.50,0.80,39
60020,0.47,0.94,43.5
60021,0.48,0.93,40.2
60022,0.50,0.90,45.5
60025,0.49,0.82,44.6
60026,0.48,0.75,45
60029,0.51,0.92,41.1
60030,0.50,0.86,41.4
60031,0.49,0.73,40.2
60033,0.50,0.93,34.6
60034,0.57,0.98,36.7
60035,0.49,0.91,47.1
60040,0.52,0.73,35.3
60041,0.53,0.93,42.6
60042,0.52,0.94,43.3
60043,0.51,0.94,42.6
60044,0.45,0.85,42
60045,0.49,0.88,47.2
60046,0.49,0.89,40.4
60047,0.50,0.83,42.3
60048,0.49,0.88,44.6
60050,0.50,0.94,39.3
60051,0.50,0.94,42.2
60053,0.49,0.60,47.8
60056,0.49,0.77,40.4
60060,0.51,0.76,37.9
60061,0.49,0.66,39.2
60062,0.47,0.79,49.7
60064,0.51,0.33,29.9
60067,0.47,0.77,44
60068,0.48,0.90,44.9
60069,0.49,0.83,53.4
60070,0.53,0.66,37.9
60071,0.50,0.96,41.5
60072,0.51,0.95,46.7
60073,0.51,0.77,33.3
60074,0.52,0.61,34.7
60076,0.48,0.56,44.9
60077,0.49,0.56,42.5
60081,0.52,0.96,45
60083,0.48,0.74,40.6
60084,0.49,0.87,39.7
60085,0.50,0.49,30.7
60087,0.50,0.58,35.1
60088,0.74,0.68,21.2
60089,0.49,0.72,41.7
60090,0.50,0.62,37.5
60091,0.48,0.83,45.5
60093,0.48,0.92,43.7
60096,0.49,0.94,46
60097,0.52,0.96,41.1
60098,0.48,0.91,39.2
60099,0.48,0.58,33.5
60101,0.49,0.69,36.6
60102,0.49,0.87,41.9
60103,0.50,0.75,39.9
60104,0.46,0.13,36.7
60106,0.51,0.75,36.4
60107,0.50,0.64,38.7
60108,0.47,0.78,42
60109,0.44,0.98,40.7
60110,0.50,0.53,30
60111,0.52,1.00,67.7
60112,0.53,0.84,30.7
60113,0.52,0.74,36.8
60115,0.49,0.73,25.2
60118,0.51,0.85,45.8
60119,0.49,0.94,42.3
60120,0.50,0.57,33.4
60123,0.50,0.62,36
60124,0.50,0.81,42
60126,0.49,0.90,39.9
60129,0.59,1.00,37.7
60130,0.46,0.58,39.5
60131,0.51,0.78,39.1
60133,0.48,0.53,33.8
60134,0.49,0.94,40.7
60135,0.52,0.91,39.7
