zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
60002,"35,087","9,861",0.281044261,"1,915",213,"16,586","3,189","1,635","2,457",656,"3,698","1,414","7,225","1,913","3,206",841
60004,"75,286","40,022",0.531599501,"3,206",526,"36,040","12,200","7,548","6,095","3,690","6,629","4,138","14,577","8,502","8,739","3,418"
60005,"45,452","22,056",0.485259175,"1,896",454,"21,778","6,952","3,849","4,058","2,385","3,788","2,270","8,436","4,349","5,496","1,797"
60007,"51,689","18,480",0.357522877,"2,481",680,"24,604","6,306","2,594","4,045","1,777","4,688","2,076","10,762","3,884","5,109","1,163"
60008,"32,497","9,484",0.291842324,"1,709",390,"15,394","2,880","1,667","3,793","1,399","2,804","1,119","5,946","1,548","2,851",481
60010,"65,374","40,154",0.61421972,"2,654",554,"31,360","10,568","9,232","2,804","1,704","4,811","3,530","15,502","10,506","8,243","4,060"
60012,"15,772","7,901",0.500951052,976,137,"7,398","2,384","1,498",404,218,"1,343",763,"4,320","2,334","1,331",567
60013,"37,220","15,070",0.404889844,"2,240",406,"17,490","4,883","2,449","2,532","1,040","2,969","1,546","9,546","4,062","2,443",684
60014,"69,084","28,397",0.411050316,"4,110",625,"32,487","9,116","4,770","5,853","2,566","6,358","2,823","14,599","6,690","5,677","1,807"
60015,"38,179","26,505",0.694229812,"2,317",527,"17,931","6,669","6,320","1,649","1,218","3,552","3,023","8,772","6,426","3,958","2,322"
60016,"92,058","34,460",0.374329227,"4,346",840,"43,856","11,438","5,372","9,361","4,698","8,188","3,772","16,726","5,703","9,581","2,637"
60018,"42,745","9,862",0.230717043,"2,659",342,"20,043","3,392","1,368","3,811","1,225","3,670","1,054","8,424","1,870","4,138",611
60020,"14,905","3,868",0.259510231,693,46,"7,106","1,395",516,"1,378",597,"1,251",473,"2,927",615,"1,550",226
60021,"7,811","3,187",0.408014339,537,75,"3,637","1,071",485,890,474,506,226,"1,846",767,395,89
60022,"11,302","9,416",0.83312688,430,44,"5,436","2,031","2,655",278,199,"1,093",937,"2,711","2,377","1,354","1,173"
