zipcode,total_pop_2019,college_pop_2019,college_percent_2019,    Population 18 to 24 years,        Bachelor's degree or higher,    Population 25 years and over,        Bachelor's degree or higher,    Population 25 to 34 years,        Bachelor's degree or higher,    Population 35 to 44 years,        Bachelor's degree or higher,    Population 45 to 64 years,        Bachelor's degree or higher,    Population 65 years and over,        Bachelor's degree or higher
60002,35142.00,11452.00,0.33,1812.00,98.00,16665.00,5677.00,2228.00,799.00,3120.00,1325.00,7422.00,2491.00,3895.00,1062.00
60004,75641.00,43973.00,0.58,2359.00,709.00,36641.00,21632.00,5709.00,3651.00,6724.00,4764.00,14725.00,9039.00,9483.00,4178.00
60005,46307.00,23208.00,0.50,1563.00,226.00,22372.00,11491.00,3526.00,2065.00,4058.00,2442.00,8814.00,4648.00,5974.00,2336.00
60007,51855.00,18224.00,0.35,2247.00,482.00,24804.00,8871.00,4430.00,2003.00,4321.00,1775.00,9680.00,3211.00,6373.00,1882.00
60008,32249.00,11018.00,0.34,1681.00,236.00,15284.00,5391.00,3833.00,1598.00,2573.00,1142.00,5500.00,1592.00,3378.00,1059.00
60010,68054.00,44150.00,0.65,2598.00,586.00,32728.00,21782.00,2660.00,1671.00,5182.00,3751.00,15491.00,11137.00,9395.00,5223.00
60012,15576.00,8021.00,0.51,926.00,145.00,7325.00,3938.00,668.00,346.00,1043.00,553.00,4108.00,2320.00,1506.00,719.00
60013,38223.00,15462.00,0.40,2467.00,462.00,17878.00,7500.00,2891.00,1209.00,3067.00,1543.00,8658.00,3812.00,3262.00,936.00
60014,69262.00,27119.00,0.39,3678.00,573.00,32792.00,13273.00,5452.00,2171.00,6471.00,2601.00,14447.00,6394.00,6422.00,2107.00
60015,38762.00,28104.00,0.73,2564.00,598.00,18099.00,13753.00,1648.00,1247.00,3449.00,2933.00,8555.00,6540.00,4447.00,3033.00
60016,92130.00,35586.00,0.39,4108.00,642.00,44011.00,17472.00,9472.00,4876.00,7776.00,3542.00,16405.00,5906.00,10358.00,3148.00
60018,43712.00,11239.00,0.26,2804.00,299.00,20454.00,5470.00,3888.00,1646.00,3742.00,983.00,8214.00,1974.00,4610.00,867.00
60020,16092.00,3638.00,0.23,938.00,0.00,7577.00,1819.00,934.00,260.00,1592.00,669.00,3075.00,607.00,1976.00,283.00
60021,8013.00,3895.00,0.49,543.00,109.00,3735.00,1893.00,839.00,650.00,552.00,262.00,1785.00,835.00,559.00,146.00
60022,11600.00,9851.00,0.85,394.00,81.00,5603.00,4885.00,289.00,194.00,983.00,971.00,2719.00,2498.00,1612.00,1222.00
60025,59388.00,35396.00,0.60,2006.00,450.00,28691.00,17473.00,3510.00,2030.00,4924.00,3303.00,11913.00,7721.00,8344.00,4419.00
60026,20306.00,13523.00,0.67,586.00,113.00,9860.00,6705.00,1233.00,927.00,1617.00,1219.00,3851.00,3001.00,3159.00,1558.00
60029,645.00,449.00,0.70,23.00,7.00,311.00,221.00,46.00,17.00,53.00,45.00,142.00,103.00,70.00,56.00
60030,53544.00,23917.00,0.45,3496.00,629.00,25024.00,11644.00,4132.00,2040.00,4307.00,2525.00,10779.00,5316.00,5806.00,1763.00
60031,53979.00,25363.00,0.47,4059.00,785.00,24960.00,12289.00,3909.00,1761.00,4823.00,2755.00,11591.00,6092.00,4637.00,1681.00
60033,18248.00,2780.00,0.15,1176.00,68.00,8536.00,1356.00,1778.00,198.00,1604.00,266.00,3390.00,550.00,1764.00,342.00
60034,3044.00,575.00,0.19,184.00,23.00,1430.00,276.00,348.00,60.00,164.00,33.00,643.00,134.00,275.00,49.00
60035,43383.00,31328.00,0.72,1405.00,358.00,20989.00,15485.00,1741.00,1133.00,3340.00,2738.00,9170.00,6782.00,6738.00,4832.00
60040,7335.00,2771.00,0.38,317.00,47.00,3509.00,1362.00,840.00,297.00,715.00,151.00,1302.00,668.00,652.00,246.00
60041,13103.00,3286.00,0.25,893.00,108.00,6105.00,1589.00,1268.00,390.00,733.00,222.00,2602.00,551.00,1502.00,426.00
60042,12757.00,3424.00,0.27,667.00,96.00,6045.00,1664.00,845.00,308.00,1201.00,363.00,2864.00,767.00,1135.00,226.00
60043,3157.00,2820.00,0.89,179.00,46.00,1489.00,1387.00,60.00,52.00,263.00,263.00,798.00,756.00,368.00,316.00
60044,14682.00,9579.00,0.65,952.00,309.00,6865.00,4635.00,1198.00,842.00,1027.00,762.00,3071.00,2133.00,1569.00,898.00
60045,30574.00,23419.00,0.77,2062.00,499.00,14256.00,11460.00,1098.00,817.00,1991.00,1765.00,6364.00,5476.00,4803.00,3402.00
60046,48776.00,19283.00,0.40,3358.00,353.00,22709.00,9465.00,3243.00,1297.00,4437.00,2497.00,10478.00,4275.00,4551.00,1396.00
60047,60229.00,35903.00,0.60,3743.00,837.00,28243.00,17533.00,3813.00,2415.00,4792.00,3546.00,14295.00,8957.00,5343.00,2615.00
60048,41152.00,26987.00,0.66,2614.00,507.00,19269.00,13240.00,1832.00,1372.00,3076.00,2513.00,9806.00,7042.00,4555.00,2313.00
60050,47633.00,12125.00,0.25,3023.00,385.00,22305.00,5870.00,4228.00,1235.00,4325.00,1348.00,9014.00,2394.00,4738.00,893.00
60051,33739.00,9080.00,0.27,2139.00,174.00,15800.00,4453.00,2436.00,869.00,3014.00,1138.00,7221.00,1790.00,3129.00,656.00
60053,36281.00,15874.00,0.44,1369.00,340.00,17456.00,7767.00,2186.00,1260.00,2809.00,1629.00,6531.00,2789.00,5930.00,2089.00
60056,80430.00,34552.00,0.43,3112.00,628.00,38659.00,16962.00,6745.00,3762.00,8138.00,3872.00,14352.00,6474.00,9424.00,2854.00
60060,55041.00,23178.00,0.42,3421.00,498.00,25810.00,11340.00,5623.00,2444.00,4569.00,2089.00,10443.00,4816.00,5175.00,1991.00
60061,37668.00,23208.00,0.62,1694.00,516.00,17987.00,11346.00,2963.00,1914.00,4274.00,3074.00,7229.00,4776.00,3521.00,1582.00
60062,61918.00,40862.00,0.66,1664.00,536.00,30127.00,20163.00,2676.00,1976.00,4289.00,3434.00,12161.00,8508.00,11001.00,6245.00
60064,20610.00,2413.00,0.12,2060.00,269.00,9275.00,1072.00,2462.00,479.00,1835.00,77.00,3460.00,376.00,1518.00,140.00
60067,56682.00,34036.00,0.60,1896.00,396.00,27393.00,16820.00,4234.00,3010.00,4727.00,3226.00,12004.00,7614.00,6428.00,2970.00
60068,54746.00,32091.00,0.59,2294.00,631.00,26226.00,15730.00,2890.00,1977.00,4683.00,3389.00,11120.00,6920.00,7533.00,3444.00
60069,13017.00,8270.00,0.64,595.00,174.00,6211.00,4048.00,550.00,411.00,734.00,633.00,2064.00,1491.00,2863.00,1513.00
60070,22522.00,7776.00,0.35,1060.00,144.00,10731.00,3816.00,2219.00,1091.00,2165.00,730.00,3865.00,1219.00,2482.00,776.00
60071,5358.00,1444.00,0.27,394.00,42.00,2482.00,701.00,322.00,102.00,506.00,168.00,1133.00,319.00,521.00,112.00
60072,1548.00,451.00,0.29,116.00,5.00,716.00,223.00,65.00,12.00,108.00,35.00,347.00,122.00,196.00,54.00
60073,80342.00,19068.00,0.24,6448.00,426.00,36947.00,9321.00,8036.00,2019.00,9597.00,3059.00,14090.00,3498.00,5224.00,745.00
60074,56178.00,21824.00,0.39,2760.00,528.00,26709.00,10648.00,7453.00,3026.00,5252.00,1919.00,9395.00,4136.00,4609.00,1567.00
60076,47321.00,22109.00,0.47,2131.00,507.00,22595.00,10801.00,2910.00,1433.00,3816.00,2027.00,9271.00,4678.00,6598.00,2663.00
60077,42013.00,17719.00,0.42,2029.00,225.00,19992.00,8747.00,3345.00,1761.00,3530.00,1643.00,7771.00,3368.00,5346.00,1975.00
60081,14000.00,3681.00,0.26,860.00,63.00,6570.00,1809.00,851.00,272.00,1025.00,350.00,3439.00,857.00,1255.00,330.00
60083,14257.00,5984.00,0.42,969.00,244.00,6644.00,2870.00,823.00,382.00,1390.00,801.00,2921.00,1243.00,1510.00,444.00
60084,24755.00,9493.00,0.38,1451.00,197.00,11652.00,4648.00,2172.00,1051.00,2128.00,970.00,5001.00,1875.00,2351.00,752.00
60085,91951.00,12244.00,0.13,8579.00,554.00,41686.00,5845.00,10375.00,1580.00,10063.00,1108.00,15306.00,2291.00,5942.00,866.00
60087,36546.00,5845.00,0.16,2434.00,119.00,17056.00,2863.00,3821.00,546.00,3321.00,568.00,6707.00,1106.00,3207.00,643.00
60088,15510.00,2592.00,0.17,8064.00,260.00,3723.00,1166.00,3046.00,871.00,375.00,204.00,241.00,91.00,61.00,0.00
60089,60660.00,39271.00,0.65,2522.00,827.00,29069.00,19222.00,4655.00,3510.00,6169.00,4714.00,12293.00,8194.00,5952.00,2804.00
60090,58558.00,23010.00,0.39,2694.00,476.00,27932.00,11267.00,7279.00,3944.00,5091.00,1974.00,9965.00,3551.00,5597.00,1798.00
60091,37647.00,30639.00,0.81,1109.00,231.00,18269.00,15204.00,1147.00,858.00,3356.00,3011.00,8538.00,7475.00,5228.00,3860.00
60093,26239.00,21677.00,0.83,927.00,173.00,12656.00,10752.00,1170.00,804.00,2091.00,1911.00,5722.00,5161.00,3673.00,2876.00
60096,10533.00,2923.00,0.28,503.00,111.00,5015.00,1406.00,783.00,198.00,803.00,262.00,2333.00,710.00,1096.00,236.00
60097,15950.00,3627.00,0.23,432.00,19.00,7759.00,1804.00,1430.00,239.00,1660.00,540.00,3324.00,727.00,1345.00,298.00
60098,46918.00,13794.00,0.29,2672.00,234.00,22123.00,6780.00,3835.00,1264.00,3742.00,1088.00,8971.00,2863.00,5575.00,1565.00
60099,40220.00,7310.00,0.18,3086.00,224.00,18567.00,3543.00,4022.00,815.00,3740.00,718.00,7070.00,1328.00,3735.00,682.00
60101,56050.00,12611.00,0.22,3618.00,313.00,26216.00,6149.00,5876.00,2012.00,4914.00,1245.00,9676.00,2012.00,5750.00,880.00
60102,47216.00,20683.00,0.44,2772.00,531.00,22222.00,10076.00,3295.00,1925.00,4150.00,2232.00,10662.00,4721.00,4115.00,1198.00
60103,60426.00,26171.00,0.43,3292.00,803.00,28567.00,12684.00,4720.00,2612.00,5582.00,3013.00,12930.00,5582.00,5335.00,1477.00
60104,27516.00,4660.00,0.17,1966.00,78.00,12775.00,2291.00,2928.00,564.00,2130.00,421.00,4858.00,949.00,2859.00,357.00
60106,29962.00,6323.00,0.21,1916.00,243.00,14023.00,3040.00,3566.00,1096.00,2409.00,471.00,5153.00,928.00,2895.00,545.00
60107,59063.00,15913.00,0.27,3187.00,197.00,27938.00,7858.00,5750.00,1809.00,6084.00,1869.00,11313.00,3062.00,4791.00,1118.00
