TRACT,TRACT
17031010100,6
17031010201,8
17031010202,6
17031010300,6
17031010400,9
17031010501,6
17031010502,6
17031010503,9
17031010600,9
17031010701,8
17031010702,6
17031020100,2
17031020200,2
17031020301,2
17031020302,2
17031020400,2
17031020500,14
17031020601,5
17031020602,5
17031020701,3
17031020702,5
17031020801,3
17031020802,5
17031020901,3
17031020902,6
17031030101,3
17031030102,3
17031030103,3
17031030104,3
17031030200,9
17031030300,3
17031030400,3
17031030500,3
17031030601,3
17031030603,3
17031030604,3
17031030701,12
17031030702,9
17031030703,9
17031030706,12
17031030800,12
17031030900,12
17031031000,9
17031031100,9
17031031200,9
17031031300,9
17031031400,14
17031031501,9
17031031502,14
17031031700,14
17031031800,9
17031031900,14
17031032100,5
17031040100,19
17031040201,4
17031040202,7
17031040300,4
17031040401,4
17031040402,13
17031040600,4
17031040700,4
17031040800,4
17031040900,13
17031050100,14
17031050200,9
17031050300,9
17031050500,9
17031050600,20
17031050700,20
17031050800,9
17031050900,9
17031051000,9
17031051100,9
17031051200,15
17031051300,26
17031051400,23
17031060100,5
17031060200,5
17031060300,5
17031060400,5
17031060500,5
17031060800,5
17031060900,11
17031061000,5
17031061100,5
17031061200,5
17031061500,11
17031061800,11
17031061901,6
17031061902,6
17031062000,6
17031062100,6
17031062200,6
17031062300,6
17031062400,6
17031062500,6
17031062600,17
17031062700,17
17031062800,17
17031062900,17
17031063000,17
17031063100,6
17031063200,6
17031063301,17
17031063302,17
17031063303,17
17031063400,17
17031070101,11
17031070102,11
17031070103,11
17031070200,11
17031070300,11
17031070400,11
17031070500,11
17031070600,11
17031070700,25
17031071000,11
17031071100,11
17031071200,11
17031071300,11
17031071400,11
17031071500,18
17031071600,11
17031071700,18
17031071800,18
17031080100,7
17031080201,7
17031080202,7
17031080300,7
17031080400,7
17031081000,9
17031081100,9
17031081201,11
17031081202,11
17031081300,4
17031081401,4
17031081402,4
17031081403,4
17031081500,6
17031081600,2
17031081700,9
17031081800,9
17031081900,9
17031090100,1
17031090200,1
17031090300,1
17031100100,3
17031100200,4
17031100300,6
17031100400,1
17031100500,3
17031100600,7
17031100700,7
17031110100,8
17031110200,8
17031110300,5
17031110400,5
17031110501,5
17031110502,5
17031120100,3
17031120200,3
17031120300,6
17031120400,8
17031130100,6
17031130200,8
17031130300,3
17031140100,4
17031140200,4
17031140301,9
17031140302,9
17031140400,5
17031140500,8
17031140601,18
17031140602,13
17031140701,4
17031140702,13
17031140800,13
17031150200,8
17031150300,13
17031150401,10
17031150402,5
17031150501,10
17031150502,10
17031150600,5
17031150700,8
17031150800,3
17031151001,3
17031151002,3
17031151100,8
17031151200,5
17031160100,8
17031160200,8
17031160300,12
17031160400,12
17031160501,13
17031160502,9
17031160601,9
17031160602,9
17031160700,9
17031160800,9
17031160900,12
17031161000,12
17031161100,3
17031161200,3
17031161300,3
17031170100,5
17031170200,5
17031170300,5
17031170400,5
17031170500,5
17031170600,5
17031170700,5
17031170800,5
17031170900,9
17031171000,5
17031171100,5
17031180100,9
17031190100,17
17031190200,17
17031190300,22
17031190401,19
17031190402,19
17031190601,14
17031190602,14
17031190701,14
17031190702,14
17031190800,14
17031190900,14
17031191000,14
17031191100,14
17031191200,14
17031191301,14
17031191302,14
17031200100,17
17031200200,14
17031200300,14
17031200401,14
17031200402,28
17031210100,9
17031210400,17
17031210501,12
17031210502,26
17031210601,9
17031210602,23
17031210700,23
17031210800,23
17031210900,23
17031220300,14
17031220400,14
17031220500,14
17031220601,14
17031220602,14
17031220701,14
17031220702,28
17031220901,28
17031220902,28
17031221000,14
17031221100,14
17031221200,14
17031221300,14
17031221400,14
17031221500,14
17031221600,14
17031222200,14
17031222500,14
17031222600,14
17031222700,14
17031222800,14
17031222900,14
17031230100,14
17031230200,14
17031230300,14
17031230400,28
17031230500,14
17031230600,17
17031230700,17
17031230800,17
17031230900,17
17031231100,3
17031231200,3
17031231500,6
17031240200,3
17031240300,17
17031240500,14
17031240600,14
17031240700,14
17031240800,14
17031240900,6
17031241000,17
17031241100,17
17031241200,17
17031241300,17
17031241400,17
17031241500,3
17031241600,4
17031242000,4
17031242100,3
17031242200,3
17031242300,3
17031242400,3
17031242500,3
17031242600,3
17031242700,3
17031242800,4
17031242900,4
17031243000,4
17031243100,3
17031243200,3
17031243300,4
17031243400,1
17031243500,3
17031250200,14
17031250300,14
17031250400,14
17031250500,18
17031250600,17
17031250700,17
17031250800,17
17031251000,3
17031251100,3
17031251200,3
17031251300,3
17031251400,6
17031251500,6
17031251600,6
17031251700,6
17031251800,3
17031251900,3
17031252000,3
17031252101,3
17031252102,3
17031252201,3
17031252202,6
17031260100,3
17031260200,3
17031260300,3
17031260400,3
17031260500,3
17031260600,3
17031260700,3
17031260800,3
17031260900,3
17031261000,3
17031270500,3
17031271200,1
17031271300,4
17031271400,3
17031271500,3
17031271800,1
17031280100,6
17031280400,4
17031280800,1
17031280900,1
17031281900,7
17031282700,14
17031282800,14
17031283100,3
17031283200,16
17031283800,13
17031290900,10
17031291200,10
17031291600,13
17031292200,7
17031292400,7
17031292500,7
17031300500,7
17031300600,7
17031300700,7
17031300800,7
17031300900,7
17031301100,20
17031301200,13
17031301600,7
17031301701,7
17031301702,7
17031301801,7
17031301802,7
17031301803,7
17031310200,19
17031310300,13
17031310400,13
17031310500,13
17031310600,13
17031310700,13
17031310800,13
17031310900,13
17031320100,5
17031320400,4
17031320600,3
17031330100,9
17031330200,9
17031340300,6
17031340400,6
17031340500,6
17031340600,11
17031350100,6
17031350400,6
17031351000,6
17031351100,8
17031351400,13
17031351500,11
17031360200,2
17031380100,2
17031380200,2
17031380500,5
17031380700,7
17031381200,6
17031381400,11
17031381500,7
17031381700,5
17031381800,9
17031381900,4
17031390100,2
17031390200,2
17031390300,2
17031390400,6
17031390500,6
17031390600,6
17031390700,4
17031400300,13
17031400400,4
17031400500,6
17031400800,6
17031410100,4
17031410200,4
17031410500,4
17031410600,4
17031410700,4
17031410800,8
17031410900,4
17031411000,8
17031411100,8
17031411200,8
17031420100,4
17031420200,4
17031420300,4
17031420400,4
17031420500,4
17031420600,4
17031420700,4
17031420800,4
17031421200,4
17031430101,2
17031430102,2
17031430200,2
17031430300,10
17031430400,6
17031430500,6
17031430600,2
17031430700,2
17031430800,2
17031430900,2
17031431200,2
17031431301,2
17031431302,2
17031431400,2
17031440101,4
17031440102,4
17031440201,4
17031440202,4
17031440300,4
17031440600,4
17031440700,4
17031440800,4
17031440900,4
17031450300,8
17031460100,10
17031460200,8
17031460301,8
17031460302,10
17031460400,10
17031460500,10
17031460600,8
17031460700,8
17031461000,8
17031470100,4
17031480100,8
17031480200,12
17031480300,12
17031480400,8
17031480500,8
17031490300,4
17031490400,4
17031490500,7
17031490600,3
17031490700,3
17031490800,3
17031490901,3
17031490902,3
17031491000,3
17031491100,3
17031491200,3
17031491300,3
17031491400,3
17031500100,7
17031500200,3
17031500300,3
17031510100,8
17031510200,8
17031510300,12
17031520100,8
17031520200,8
17031520300,8
17031520400,8
17031520500,8
17031520600,8
17031530100,3
17031530200,3
17031530300,7
17031530400,7
17031530501,3
17031530502,3
17031530503,7
17031530600,3
17031540101,1
17031540102,4
17031550100,8
17031560100,10
17031560200,15
17031560300,5
17031560400,10
17031560700,5
17031560800,5
17031560900,5
17031561000,5
17031561100,5
17031570100,10
17031570200,10
17031570300,10
17031570400,10
17031570500,10
17031580100,23
17031580200,23
17031580300,10
17031580400,10
17031580501,10
17031580502,10
17031580600,10
17031580700,15
17031580800,10
17031590500,5
17031590600,5
17031590700,5
17031600400,19
17031600600,13
17031600700,13
17031600900,13
17031610300,5
17031610400,5
17031610800,5
17031611000,5
17031611100,5
17031611200,5
17031611300,5
17031611400,5
17031611500,5
17031611600,5
17031611700,5
17031611800,5
17031611900,5
17031612000,5
17031612100,5
17031620100,10
17031620200,10
17031620300,19
17031620400,19
17031630100,5
17031630200,15
17031630300,10
17031630400,10
17031630500,15
17031630800,19
17031630900,19
17031640100,9
17031640300,5
17031640400,5
17031640500,5
17031640600,5
17031640700,5
17031640800,14
17031650100,9
17031650200,9
17031650301,9
17031650302,9
17031650400,9
17031650500,10
17031660301,9
17031660302,9
17031660400,9
17031660500,9
17031660600,11
17031660700,2
17031660800,11
17031660900,11
17031661000,11
17031661100,9
17031670100,2
17031670200,2
17031670300,2
17031670400,2
17031670500,2
17031670600,2
17031670700,2
17031670800,2
17031670900,2
17031671100,2
17031671200,2
17031671300,2
17031671400,2
17031671500,2
17031671600,2
17031671800,2
17031671900,2
17031672000,2
17031680500,4
17031680600,4
17031680900,2
17031681000,4
17031681100,4
17031681200,2
17031681300,11
17031681400,4
17031690300,2
17031690400,8
17031690500,8
17031690900,4
17031691000,4
17031691100,2
17031691200,9
17031691300,4
17031691400,4
17031691500,4
17031700100,19
17031700200,10
17031700301,1
17031700302,1
17031700401,1
17031700402,1
17031700501,10
17031700502,10
17031710100,9
17031710200,9
17031710300,9
17031710400,9
17031710500,9
17031710600,9
17031710700,9
17031710800,9
17031710900,9
17031711000,9
17031711100,9
17031711200,9
17031711300,9
17031711400,9
17031711500,9
17031720100,13
17031720200,4
17031720300,4
17031720400,5
17031720500,5
17031720600,4
17031720700,4
17031730100,12
17031730201,13
17031730202,13
17031730300,9
17031730400,7
17031730500,3
17031730600,7
17031730700,7
17031740100,1
17031740200,1
17031740300,1
17031740400,1
17031750100,7
17031750200,4
17031750300,5
17031750400,5
17031750500,4
17031750600,7
17031760801,3
17031760802,7
17031760803,2
17031770700,2
17031770902,2
17031805502,1
17031807800,3
17031808002,3
17031808100,1
17031810400,3
17031810502,5
17031810600,5
17031810701,4
17031810702,4
17031810800,4
17031810900,4
17031811000,4
17031811100,4
17031812100,14
17031813302,3
17031814200,7
17031820502,5
17031820800,5
17031820901,14
17031820902,14
17031821200,5
17031821401,1
17031821402,1
17031821500,1
17031821600,9
17031823304,1
17031826401,1
17031826500,1
17031826600,1
17031826700,1
17031826800,1
17031830500,17
17031830600,9
17031830700,14
17031830800,18
17031830900,23
17031831000,17
17031831100,12
17031831200,28
17031831300,17
17031831400,3
17031831500,23
17031831600,4
17031831700,8
17031831800,9
17031831900,11
17031832000,11
17031832100,5
17031832200,14
17031832300,15
17031832400,14
17031832500,11
17031832600,12
17031832900,3
17031833000,8
17031833100,7
17031833300,16
17031833900,8
17031834000,12
17031834200,6
17031834300,12
17031834400,4
17031834500,6
17031834600,2
17031834700,2
17031834800,2
17031834900,2
17031835000,11
17031835100,21
17031835200,15
17031835500,5
17031835600,5
17031835700,5
17031835800,6
17031835900,7
17031836000,2
17031836100,9
17031836200,8
17031836300,4
17031836400,2
17031836500,2
17031836600,6
17031836700,10
17031836800,4
17031836900,4
17031837000,1
17031837100,1
17031837300,4
17031837400,1
17031837800,1
17031838000,1
17031838100,4
17031838200,17
17031838300,7
17031838600,1
17031838700,10
17031838800,11
17031839000,6
17031839100,11
17031839200,6
17031839500,6
17031839600,8
17031839700,24
17031839800,19
17031839900,11
17031840000,11
17031840100,6
17031840200,19
17031840300,28
17031840400,18
17031840700,20
17031840800,7
17031841000,6
17031841100,6
17031841200,13
17031841300,13
17031841400,7
17031841500,10
17031841600,7
17031841700,7
17031841800,8
17031841900,22
17031842000,6
17031842100,6
17031842200,10
17031842300,10
17031842400,9
17031842500,6
17031842600,5
17031842800,10
17031842900,13
17031843000,4
17031843100,21
17031843200,19
17031843300,14
17031843400,7
17031843500,20
17031843600,6
17031843700,9
17031843800,5
17031843900,6
17031980100,15
