,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31/1/2010,31/1/2020,change,change_perc
1,84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,427929,483831,0.13063382,13.06338201
4,84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,543934,624636,0.148367265,14.83672651
9,84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,283836,304706,0.073528376,7.352837554
17,84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,369703,457375,0.237141706,23.71417056
27,84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,394996,473211,0.198014663,19.80146634
50,84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,312652,340486,0.089025498,8.9025498
56,84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,335839,383145,0.140859162,14.08591617
62,84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,166072,205821,0.239347994,23.93479936
69,84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,394296,431296,0.093838132,9.383813176
91,84621,92,60619,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,137520,161643,0.175414485,17.54144852
101,84613,102,60611,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,456508,471463,0.032759557,3.275955734
130,84619,131,60617,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,122872,133721,0.088295136,8.82951364
185,84622,187,60620,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,154954,155955,0.006459982,0.645998167
204,84635,206,60634,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,251814,301482,0.197240821,19.72408206
257,84629,259,60628,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,114257,118058,0.033267108,3.326710836
282,84647,284,60649,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,135592,144471,0.065483214,6.548321435
286,84628,288,60626,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,220096,218076,-0.009177813,-0.917781332
316,84624,318,60622,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,419536,508071,0.211030758,21.10307578
318,84618,320,60616,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,313963,357648,0.139140599,13.91405994
360,84617,362,60615,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,254814,253131,-0.006604818,-0.660481763
378,84641,380,60641,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,294344,335253,0.138983638,13.89836382
401,84656,403,60660,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,246561,261727,0.061510133,6.151013339
465,84637,468,60637,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,210180,162177,-0.228389951,-22.83899515
501,84610,504,60608,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,257166,295589,0.149409331,14.94093309
732,84638,734,60638,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,211580,249703,0.180182437,18.01824369
772,84639,775,60639,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,183836,264641,0.439549381,43.9549381
857,84631,860,60630,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,291637,339007,0.16242795,16.24279498
899,84642,902,60643,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,201763,190770,-0.054484717,-5.448471722
1113,84625,1119,60623,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,199088,178257,-0.104632122,-10.46321225
1137,84633,1143,60632,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,156663,205882,0.314171183,31.41711827
1230,84607,1238,60605,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,342244,394769,0.153472376,15.34723764
1513,84611,1525,60609,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,174365,190357,0.091715654,9.171565394
1612,84644,1625,60645,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,260775,309809,0.188031828,18.80318282
1614,84651,1627,60654,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,319595,403558,0.262716876,26.2716876
1668,84648,1681,60651,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,167661,224660,0.339965764,33.99657643
1881,84650,1896,60653,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,269863,285370,0.05746249,5.746249023
2041,84643,2056,60644,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,174082,170652,-0.019703358,-1.970335819
2245,84609,2261,60607,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,319355,412114,0.290457328,29.04573281
2565,84614,2586,60612,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,269116,292278,0.086066975,8.606697484
2872,84655,2896,60659,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,294361,343668,0.167505206,16.75052062
3108,84649,3138,60652,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,191722,202907,0.058339679,5.833967933
3444,84632,3479,60631,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,333908,370690,0.110156091,11.01560909
3466,84653,3501,60656,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,282602,319535,0.130689096,13.06890963
3476,84626,3511,60624,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,156929,171085,0.090206399,9.020639907
3984,84623,4023,60621,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,101754,59731,-0.412986222,-41.29862217
4169,84603,4211,60601,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,422366,446290,0.056642817,5.664281689
4342,399713,4387,60642,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,390653,481539,0.232651484,23.26514835
4387,84652,4432,60655,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,238925,255822,0.070720938,7.072093753
4434,84645,4481,60646,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,376660,417382,0.108113418,10.81134179
4449,84636,4495,60636,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,81552,76272,-0.064743967,-6.474396704
5871,84657,5928,60661,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,293974,381413,0.297437869,29.74378687
8974,84634,9084,60633,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,123568,131073,0.060735789,6.07357892
11828,84608,11990,60606,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,323034,371034,0.14859117,14.859117
18212,84604,18836,60602,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,490641,546389,0.113622791,11.36227914
18879,84605,19621,60603,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,,689925,,
20218,84606,21208,60604,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,,480655,,
