"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"56793","22674","8600000US60002","ZCTA5 60002"
"25085","7153","8600000US60004","ZCTA5 60004"
"26349","10181","8600000US60005","ZCTA5 60005"
"34004","7973","8600000US60007","ZCTA5 60007"
"28464","16561","8600000US60008","ZCTA5 60008"
"50524","18172","8600000US60010","ZCTA5 60010"
"17185","8546","8600000US60012","ZCTA5 60012"
"11838","8419","8600000US60013","ZCTA5 60013"
"31196","13283","8600000US60014","ZCTA5 60014"
"35488","18643","8600000US60015","ZCTA5 60015"
"24915","5351","8600000US60016","ZCTA5 60016"
"15761","6684","8600000US60018","ZCTA5 60018"
"null","null","8600000US60020","ZCTA5 60020"
"-","**","8600000US60021","ZCTA5 60021"
"118331","84616","8600000US60022","ZCTA5 60022"
"34350","14124","8600000US60025","ZCTA5 60025"
"17239","5169","8600000US60026","ZCTA5 60026"
"null","null","8600000US60029","ZCTA5 60029"
"34337","17165","8600000US60030","ZCTA5 60030"
"29128","5195","8600000US60031","ZCTA5 60031"
"null","null","8600000US60033","ZCTA5 60033"
"27189","25829","8600000US60034","ZCTA5 60034"
"23926","13150","8600000US60035","ZCTA5 60035"
"30936","14178","8600000US60040","ZCTA5 60040"
"34547","5868","8600000US60041","ZCTA5 60041"
"null","null","8600000US60042","ZCTA5 60042"
"-","**","8600000US60043","ZCTA5 60043"
"20753","15588","8600000US60044","ZCTA5 60044"
"80583","58406","8600000US60045","ZCTA5 60045"
"52164","18041","8600000US60046","ZCTA5 60046"
"39649","15012","8600000US60047","ZCTA5 60047"
"38607","20137","8600000US60048","ZCTA5 60048"
"41892","28298","8600000US60050","ZCTA5 60050"
"null","null","8600000US60051","ZCTA5 60051"
"42553","13730","8600000US60053","ZCTA5 60053"
"23444","10859","8600000US60056","ZCTA5 60056"
"23345","7558","8600000US60060","ZCTA5 60060"
"48839","17805","8600000US60061","ZCTA5 60061"
"27794","7285","8600000US60062","ZCTA5 60062"
"22040","2161","8600000US60064","ZCTA5 60064"
"43881","14929","8600000US60067","ZCTA5 60067"
"40821","14283","8600000US60068","ZCTA5 60068"
"20448","11900","8600000US60069","ZCTA5 60069"
"16569","15824","8600000US60070","ZCTA5 60070"
"null","null","8600000US60071","ZCTA5 60071"
"null","null","8600000US60072","ZCTA5 60072"
"23379","4950","8600000US60073","ZCTA5 60073"
"25925","8864","8600000US60074","ZCTA5 60074"
"38401","9482","8600000US60076","ZCTA5 60076"
"27721","13357","8600000US60077","ZCTA5 60077"
"-","**","8600000US60081","ZCTA5 60081"
"45887","17682","8600000US60083","ZCTA5 60083"
"19588","11560","8600000US60084","ZCTA5 60084"
"21710","2137","8600000US60085","ZCTA5 60085"
"25653","3532","8600000US60087","ZCTA5 60087"
"29395","19789","8600000US60088","ZCTA5 60088"
"16998","14658","8600000US60089","ZCTA5 60089"
"23992","9058","8600000US60090","ZCTA5 60090"
"11347","4431","8600000US60091","ZCTA5 60091"
"34983","5911","8600000US60093","ZCTA5 60093"
"43026","45554","8600000US60096","ZCTA5 60096"
"null","null","8600000US60097","ZCTA5 60097"
"19602","9482","8600000US60098","ZCTA5 60098"
"22421","3086","8600000US60099","ZCTA5 60099"
"14880","2978","8600000US60101","ZCTA5 60101"
"40680","10532","8600000US60102","ZCTA5 60102"
"30398","13189","8600000US60103","ZCTA5 60103"
"29169","3880","8600000US60104","ZCTA5 60104"
"27994","7863","8600000US60106","ZCTA5 60106"
"32199","12610","8600000US60107","ZCTA5 60107"
"35666","11858","8600000US60108","ZCTA5 60108"
"-","**","8600000US60109","ZCTA5 60109"
"17847","4651","8600000US60110","ZCTA5 60110"
"-","**","8600000US60111","ZCTA5 60111"
"28987","7614","8600000US60112","ZCTA5 60112"
"17915","11399","8600000US60113","ZCTA5 60113"
"13573","2375","8600000US60115","ZCTA5 60115"
"17234","13622","8600000US60118","ZCTA5 60118"
"41885","15333","8600000US60119","ZCTA5 60119"
"21130","5085","8600000US60120","ZCTA5 60120"
"19586","3674","8600000US60123","ZCTA5 60123"
"52996","39176","8600000US60124","ZCTA5 60124"
"40194","12405","8600000US60126","ZCTA5 60126"
"-","**","8600000US60129","ZCTA5 60129"
"33724","4061","8600000US60130","ZCTA5 60130"
"9176","8247","8600000US60131","ZCTA5 60131"
"18728","4557","8600000US60133","ZCTA5 60133"
"22194","10565","8600000US60134","ZCTA5 60134"
"null","null","8600000US60135","ZCTA5 60135"
"null","null","8600000US60136","ZCTA5 60136"
"32550","16083","8600000US60137","ZCTA5 60137"
"25628","4627","8600000US60139","ZCTA5 60139"
"null","null","8600000US60140","ZCTA5 60140"
"10399","6468","8600000US60141","ZCTA5 60141"
"48334","13671","8600000US60142","ZCTA5 60142"
"40316","16662","8600000US60143","ZCTA5 60143"
"-","**","8600000US60144","ZCTA5 60144"
"79256","37328","8600000US60145","ZCTA5 60145"
"-","**","8600000US60146","ZCTA5 60146"
"37975","5037","8600000US60148","ZCTA5 60148"
"null","null","8600000US60150","ZCTA5 60150"
"20744","9235","8600000US60151","ZCTA5 60151"
"16198","2593","8600000US60152","ZCTA5 60152"
"25058","3001","8600000US60153","ZCTA5 60153"
"35874","3236","8600000US60154","ZCTA5 60154"
"30604","4145","8600000US60155","ZCTA5 60155"
"27839","9510","8600000US60156","ZCTA5 60156"
"null","null","8600000US60157","ZCTA5 60157"
"17533","4786","8600000US60160","ZCTA5 60160"
"25805","3910","8600000US60162","ZCTA5 60162"
"36861","9712","8600000US60163","ZCTA5 60163"
"28637","7063","8600000US60164","ZCTA5 60164"
"33811","27514","8600000US60165","ZCTA5 60165"
"21550","5485","8600000US60169","ZCTA5 60169"
"null","null","8600000US60171","ZCTA5 60171"
"25202","8647","8600000US60172","ZCTA5 60172"
"63482","43715","8600000US60173","ZCTA5 60173"
"31528","13942","8600000US60174","ZCTA5 60174"
"16894","9111","8600000US60175","ZCTA5 60175"
"37490","14085","8600000US60176","ZCTA5 60176"
"67534","51316","8600000US60177","ZCTA5 60177"
"20386","6986","8600000US60178","ZCTA5 60178"
"-","**","8600000US60180","ZCTA5 60180"
"24479","4696","8600000US60181","ZCTA5 60181"
"null","null","8600000US60184","ZCTA5 60184"
"22533","9327","8600000US60185","ZCTA5 60185"
"24742","9334","8600000US60187","ZCTA5 60187"
"30498","5987","8600000US60188","ZCTA5 60188"
"22757","5377","8600000US60189","ZCTA5 60189"
"78009","59154","8600000US60190","ZCTA5 60190"
"32864","18643","8600000US60191","ZCTA5 60191"
"46349","27981","8600000US60192","ZCTA5 60192"
"39927","9651","8600000US60193","ZCTA5 60193"
"21827","7651","8600000US60194","ZCTA5 60194"
"27769","13115","8600000US60195","ZCTA5 60195"
"23744","3282","8600000US60201","ZCTA5 60201"
"29450","6517","8600000US60202","ZCTA5 60202"
"17294","6855","8600000US60203","ZCTA5 60203"
"59434","20786","8600000US60301","ZCTA5 60301"
"42560","7029","8600000US60302","ZCTA5 60302"
"48306","12158","8600000US60304","ZCTA5 60304"
"72598","30105","8600000US60305","ZCTA5 60305"
"28357","9899","8600000US60401","ZCTA5 60401"
"22328","3996","8600000US60402","ZCTA5 60402"
"15661","1865","8600000US60403","ZCTA5 60403"
"37348","12742","8600000US60404","ZCTA5 60404"
"21043","3158","8600000US60406","ZCTA5 60406"
"-","**","8600000US60407","ZCTA5 60407"
"6600","7656","8600000US60408","ZCTA5 60408"
"23629","1953","8600000US60409","ZCTA5 60409"
"22926","8651","8600000US60410","ZCTA5 60410"
"22053","1918","8600000US60411","ZCTA5 60411"
"35284","9957","8600000US60415","ZCTA5 60415"
"30628","22376","8600000US60416","ZCTA5 60416"
"50739","31608","8600000US60417","ZCTA5 60417"
"22274","1738","8600000US60419","ZCTA5 60419"
"null","null","8600000US60420","ZCTA5 60420"
"null","null","8600000US60421","ZCTA5 60421"
"41178","7981","8600000US60422","ZCTA5 60422"
"48548","15126","8600000US60423","ZCTA5 60423"
"-","**","8600000US60424","ZCTA5 60424"
"27113","2671","8600000US60425","ZCTA5 60425"
"20596","2221","8600000US60426","ZCTA5 60426"
"19036","3245","8600000US60428","ZCTA5 60428"
"24845","3062","8600000US60429","ZCTA5 60429"
"28584","3323","8600000US60430","ZCTA5 60430"
"29918","4292","8600000US60431","ZCTA5 60431"
"20797","3856","8600000US60432","ZCTA5 60432"
"21726","2596","8600000US60433","ZCTA5 60433"
"22970","2318","8600000US60435","ZCTA5 60435"
"18144","2887","8600000US60436","ZCTA5 60436"
"-","**","8600000US60437","ZCTA5 60437"
"24543","2115","8600000US60438","ZCTA5 60438"
"10187","12502","8600000US60439","ZCTA5 60439"
"29605","3328","8600000US60440","ZCTA5 60440"
"22881","5891","8600000US60441","ZCTA5 60441"
"121245","77153","8600000US60442","ZCTA5 60442"
"41650","4907","8600000US60443","ZCTA5 60443"
"-","**","8600000US60444","ZCTA5 60444"
"21338","3936","8600000US60445","ZCTA5 60445"
"29230","3970","8600000US60446","ZCTA5 60446"
"13064","6993","8600000US60447","ZCTA5 60447"
"52703","38990","8600000US60448","ZCTA5 60448"
"37644","9604","8600000US60449","ZCTA5 60449"
"31141","31552","8600000US60450","ZCTA5 60450"
"26308","15654","8600000US60451","ZCTA5 60451"
"42058","17012","8600000US60452","ZCTA5 60452"
"34762","4196","8600000US60453","ZCTA5 60453"
"26492","9794","8600000US60455","ZCTA5 60455"
"30646","4685","8600000US60456","ZCTA5 60456"
"27661","13552","8600000US60457","ZCTA5 60457"
"23111","4350","8600000US60458","ZCTA5 60458"
