X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,POPULATION,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,FT_TEACHER
-87.66568244,41.69218689,2043,1.70993E+11,MORGAN PARK HIGH SCHOOL,1744 W PRYOR AVE,CHICAGO,IL,60643,3497,1506,COOK,17031,41.69218689,-87.66568244,3,1425,7,12,81
-87.68319075,41.89197396,2084,1.70993E+11,MITCHELL ELEM SCHOOL,2233 W OHIO ST,CHICAGO,IL,60612,1519,377,COOK,17031,41.89197396,-87.68319075,1,357,PK,8,20
-87.68657554,41.8747468,2085,1.70993E+11,UNO ACADEMY CHARTER SCHOOLS,954 W WASHINGTON BLVD FL 3,CHICAGO,IL,60607,2224,8326,COOK,17031,41.8747468,-87.68657554,4,7923,KG,12,403
-87.55746251,41.73430344,2086,1.70993E+11,BOWEN HIGH SCHOOL,2710 E 89TH ST,CHICAGO,IL,60617,3192,399,COOK,17031,41.73430344,-87.55746251,3,368,9,12,31
-87.697293,41.7743824,2246,1.70993E+11,MARQUETTE ELEM SCHOOL,6550 S RICHMOND ST,CHICAGO,IL,60629,2821,1290,COOK,17031,41.7743824,-87.697293,1,1230,PK,8,60
-87.75269414,41.87255826,2412,1.70993E+11,CLARK ACAD PREP MAGNET HIGH SCHL,5101 W HARRISON ST,CHICAGO,IL,60644,5102,529,COOK,17031,41.87255826,-87.75269414,3,502,7,12,27
-87.69431113,41.82319734,2492,1.70993E+11,CALMECA ACAD ELEM SCHOOL,3456 W 38TH ST,CHICAGO,IL,60632,3304,846,COOK,17031,41.82319734,-87.69431113,1,802,PK,8,44
-87.71732869,41.69002297,2604,1.70993E+11,CHICAGO HS FOR AGRICULT SCIENCES,3857 W 111TH ST,CHICAGO,IL,60655,4009,730,COOK,17031,41.69002297,-87.71732869,3,687,9,12,43
-87.70237328,41.94024756,2771,1.70993E+11,LINNE ELEM SCHOOL,3221 N SACRAMENTO AVE,CHICAGO,IL,60618,5825,667,COOK,17031,41.94024756,-87.70237328,1,629,PK,8,38
-87.75974208,41.89364625,6008,1.70993E+11,HOWE ELEM SCHOOL,720 N LOREL AVE,CHICAGO,IL,60644,1666,618,COOK,17031,41.89364625,-87.75974208,1,581,PK,8,37
