TRACT,TRACT
17031010201,129
17031020200,56
17031020602,166
17031030706,118
17031040402,219
17031040800,256
17031051000,303
17031063302,356
17031070400,382
17031081100,173
17031081500,279
17031090300,68
17031100100,54
17031100500,23
17031130200,99
17031151100,155
17031160300,134
17031221200,319
17031241200,319
17031250700,64
17031252102,58
17031280100,254
17031282800,219
17031292200,141
17031320100,174
17031320400,106
17031351400,201
17031390400,45
17031390500,79
17031430200,48
17031440700,103
17031460100,124
17031530400,76
17031540102,98
17031550100,17
17031560100,169
17031630100,142
17031650500,235
17031670100,46
17031691100,31
17031710400,113
17031740100,26
17031820502,134
17031830700,209
17031831500,243
17031832300,100
17031834400,64
17031836800,45
17031837400,79
17031838200,262
17031839100,234
17031842300,261
17031980000,89
